player_name,season,team_long_name,league
Jerome Thiesson,2009/2010,AC Bellinzona,Switzerland Super League
Drissa Diarra,2009/2010,AC Bellinzona,Switzerland Super League
Yacine Hima,2009/2010,AC Bellinzona,Switzerland Super League
Alessandro Ciarrocchi,2009/2010,AC Bellinzona,Switzerland Super League
Carlo Zotti,2009/2010,AC Bellinzona,Switzerland Super League
Guerkan Sermeter,2009/2010,AC Bellinzona,Switzerland Super League
Genc Mehmeti,2009/2010,AC Bellinzona,Switzerland Super League
Andrea Conti,2009/2010,AC Bellinzona,Switzerland Super League
Pajtim Kasami,2009/2010,AC Bellinzona,Switzerland Super League
Aimo Stefano Diana,2009/2010,AC Bellinzona,Switzerland Super League
Henri Siqueira-Barras,2009/2010,AC Bellinzona,Switzerland Super League
Fausto Rossini,2009/2010,AC Bellinzona,Switzerland Super League
Angelo Raso,2009/2010,AC Bellinzona,Switzerland Super League
Igor Djuric,2009/2010,AC Bellinzona,Switzerland Super League
Matteo Gritti,2009/2010,AC Bellinzona,Switzerland Super League
Shkelzen Gashi,2009/2010,AC Bellinzona,Switzerland Super League
Hemza Mihoubi,2009/2010,AC Bellinzona,Switzerland Super League
Iacopo La Rocca,2009/2010,AC Bellinzona,Switzerland Super League
Manuel Rivera,2009/2010,AC Bellinzona,Switzerland Super League
Yuri Cornelisse,2009/2010,ADO Den Haag,Netherlands Eredivisie
Berry Powel,2009/2010,ADO Den Haag,Netherlands Eredivisie
Csaba Horvath,2009/2010,ADO Den Haag,Netherlands Eredivisie
Richard Knopper,2009/2010,ADO Den Haag,Netherlands Eredivisie
Lorenzo Pique,2009/2010,ADO Den Haag,Netherlands Eredivisie
Aleksandar Rankovic,2009/2010,ADO Den Haag,Netherlands Eredivisie
Charlton Vicento,2009/2010,ADO Den Haag,Netherlands Eredivisie
Santy Hulst,2009/2010,ADO Den Haag,Netherlands Eredivisie
Robert Zwinkels,2009/2010,ADO Den Haag,Netherlands Eredivisie
Ahmed Ammi,2009/2010,ADO Den Haag,Netherlands Eredivisie
Lex Immers,2009/2010,ADO Den Haag,Netherlands Eredivisie
Ricky van den Bergh,2009/2010,ADO Den Haag,Netherlands Eredivisie
Kees Luijckx,2009/2010,ADO Den Haag,Netherlands Eredivisie
Christiaan Kum,2009/2010,ADO Den Haag,Netherlands Eredivisie
Danny Buijs,2009/2010,ADO Den Haag,Netherlands Eredivisie
Kai van Hese,2009/2010,ADO Den Haag,Netherlands Eredivisie
Timothy Derijck,2009/2010,ADO Den Haag,Netherlands Eredivisie
Pascal Bosschaart,2009/2010,ADO Den Haag,Netherlands Eredivisie
Karim Soltani,2009/2010,ADO Den Haag,Netherlands Eredivisie
Barry Ditewig,2009/2010,ADO Den Haag,Netherlands Eredivisie
Gino Coutinho,2009/2010,ADO Den Haag,Netherlands Eredivisie
Jens Toornstra,2009/2010,ADO Den Haag,Netherlands Eredivisie
Bogdan Milic,2009/2010,ADO Den Haag,Netherlands Eredivisie
Wesley Verhoek,2009/2010,ADO Den Haag,Netherlands Eredivisie
Levi Schwiebbe,2009/2010,ADO Den Haag,Netherlands Eredivisie
Delvin N'Dinga,2009/2010,AJ Auxerre,France Ligue 1
Olivier Sorin,2009/2010,AJ Auxerre,France Ligue 1
Remy Riou,2009/2010,AJ Auxerre,France Ligue 1
Dariusz Dudka,2009/2010,AJ Auxerre,France Ligue 1
Adama Coulibaly,2009/2010,AJ Auxerre,France Ligue 1
Benoit Pedretti,2009/2010,AJ Auxerre,France Ligue 1
Stephane Grichting,2009/2010,AJ Auxerre,France Ligue 1
Jeremy Berthod,2009/2010,AJ Auxerre,France Ligue 1
Valter Birsa,2009/2010,AJ Auxerre,France Ligue 1
Aurelien Capoue,2009/2010,AJ Auxerre,France Ligue 1
Dennis Oliech,2009/2010,AJ Auxerre,France Ligue 1
Roy Contout,2009/2010,AJ Auxerre,France Ligue 1
Daniel Niculae,2009/2010,AJ Auxerre,France Ligue 1
Kamel Chafni,2009/2010,AJ Auxerre,France Ligue 1
Jean-Pascal Mignot,2009/2010,AJ Auxerre,France Ligue 1
Cedric Hengbart,2009/2010,AJ Auxerre,France Ligue 1
Jean-Jacques Gosso,2009/2010,AS Monaco,France Ligue 1
Eidur Gudjohnsen,2009/2010,AS Monaco,France Ligue 1
Lukman Haruna,2009/2010,AS Monaco,France Ligue 1
Djimi Traore,2009/2010,AS Monaco,France Ligue 1
Nicolas N'Koulou,2009/2010,AS Monaco,France Ligue 1
Frederic Nimani,2009/2010,AS Monaco,France Ligue 1
Cedric Mongongu,2009/2010,AS Monaco,France Ligue 1
Mathieu Coutadeur,2009/2010,AS Monaco,France Ligue 1
Juan Pablo Pino,2009/2010,AS Monaco,France Ligue 1
Sebastien Puygrenier,2009/2010,AS Monaco,France Ligue 1
Stephane Ruffier,2009/2010,AS Monaco,France Ligue 1
Thomas Mangani,2009/2010,AS Monaco,France Ligue 1
Eduardo Costa,2009/2010,AS Monaco,France Ligue 1
Diego Perez,2009/2010,AS Monaco,France Ligue 1
Adriano Pereira da Silva,2009/2010,AS Monaco,France Ligue 1
Vincent Muratori,2009/2010,AS Monaco,France Ligue 1
Yohan Mollo,2009/2010,AS Monaco,France Ligue 1
Francois Modesto,2009/2010,AS Monaco,France Ligue 1
Alejandro Alonso,2009/2010,AS Monaco,France Ligue 1
Chu-Young Park,2009/2010,AS Monaco,France Ligue 1
Djamel Bakar,2009/2010,AS Nancy-Lorraine,France Ligue 1
Damian Macaluso Rojas,2009/2010,AS Nancy-Lorraine,France Ligue 1
Issiar Dia,2009/2010,AS Nancy-Lorraine,France Ligue 1
Pascal Berenguer,2009/2010,AS Nancy-Lorraine,France Ligue 1
Chris Malonga,2009/2010,AS Nancy-Lorraine,France Ligue 1
Gennaro Bracigliano,2009/2010,AS Nancy-Lorraine,France Ligue 1
Reynald Lemaitre,2009/2010,AS Nancy-Lorraine,France Ligue 1
Bocundji Ca,2009/2010,AS Nancy-Lorraine,France Ligue 1
Michael Basser Chretien,2009/2010,AS Nancy-Lorraine,France Ligue 1
Joeel Sami,2009/2010,AS Nancy-Lorraine,France Ligue 1
Abdeslam Ouaddou,2009/2010,AS Nancy-Lorraine,France Ligue 1
Damien Gregorini,2009/2010,AS Nancy-Lorraine,France Ligue 1
Floyd Ayite,2009/2010,AS Nancy-Lorraine,France Ligue 1
Florian Marange,2009/2010,AS Nancy-Lorraine,France Ligue 1
Julien Feret,2009/2010,AS Nancy-Lorraine,France Ligue 1
Andre Luiz,2009/2010,AS Nancy-Lorraine,France Ligue 1
Jordan Loties,2009/2010,AS Nancy-Lorraine,France Ligue 1
Samba Diakite,2009/2010,AS Nancy-Lorraine,France Ligue 1
Bakaye Traore,2009/2010,AS Nancy-Lorraine,France Ligue 1
Alfred N'Diaye,2009/2010,AS Nancy-Lorraine,France Ligue 1
Jonathan Brison,2009/2010,AS Nancy-Lorraine,France Ligue 1
Youssouf Hadji,2009/2010,AS Nancy-Lorraine,France Ligue 1
Augusto Fernandez,2009/2010,AS Saint-Étienne,France Ligue 1
Mouhamadou Dabo,2009/2010,AS Saint-Étienne,France Ligue 1
Yoann Andreu,2009/2010,AS Saint-Étienne,France Ligue 1
Blaise Matuidi,2009/2010,AS Saint-Étienne,France Ligue 1
Christophe Landrin,2009/2010,AS Saint-Étienne,France Ligue 1
Efstathios Tavlaridis,2009/2010,AS Saint-Étienne,France Ligue 1
Dimitri Payet,2009/2010,AS Saint-Étienne,France Ligue 1
Loic Perrin,2009/2010,AS Saint-Étienne,France Ligue 1
"Yohan Hautcoeur,17",2009/2010,AS Saint-Étienne,France Ligue 1
Yohan Benalouane,2009/2010,AS Saint-Étienne,France Ligue 1
Gonzalo Bergessio,2009/2010,AS Saint-Étienne,France Ligue 1
Pape Diakhate,2009/2010,AS Saint-Étienne,France Ligue 1
Kevin Mirallas,2009/2010,AS Saint-Étienne,France Ligue 1
Cedric Varrault,2009/2010,AS Saint-Étienne,France Ligue 1
Mustapha Bayal Sall,2009/2010,AS Saint-Étienne,France Ligue 1
Jeremie Janot,2009/2010,AS Saint-Étienne,France Ligue 1
Ilan,2009/2010,AS Saint-Étienne,France Ligue 1
Gelson Fernandes,2009/2010,AS Saint-Étienne,France Ligue 1
Sylvain Monsoreau,2009/2010,AS Saint-Étienne,France Ligue 1
Bakary Sako,2009/2010,AS Saint-Étienne,France Ligue 1
Guirane N'Daw,2009/2010,AS Saint-Étienne,France Ligue 1
David Mendes,2009/2010,AZ,Netherlands Eredivisie
Ari,2009/2010,AZ,Netherlands Eredivisie
Niklas Moisander,2009/2010,AZ,Netherlands Eredivisie
Brett Holman,2009/2010,AZ,Netherlands Eredivisie
Simon Poulsen,2009/2010,AZ,Netherlands Eredivisie
Stijn Schaars,2009/2010,AZ,Netherlands Eredivisie
Hector Moreno,2009/2010,AZ,Netherlands Eredivisie
Mounir El Hamdaoui,2009/2010,AZ,Netherlands Eredivisie
Moussa Dembele,2009/2010,AZ,Netherlands Eredivisie
Joey Didulica,2009/2010,AZ,Netherlands Eredivisie
Sergio Romero,2009/2010,AZ,Netherlands Eredivisie
Rasmus Elm,2009/2010,AZ,Netherlands Eredivisie
Jeremain Lens,2009/2010,AZ,Netherlands Eredivisie
Pontus Wernbloom,2009/2010,AZ,Netherlands Eredivisie
Graziano Pelle,2009/2010,AZ,Netherlands Eredivisie
Kew Jaliens,2009/2010,AZ,Netherlands Eredivisie
Ragnar Klavan,2009/2010,AZ,Netherlands Eredivisie
Celso Ortiz,2009/2010,AZ,Netherlands Eredivisie
Sebastien Pocognoli,2009/2010,AZ,Netherlands Eredivisie
Gill Swerts,2009/2010,AZ,Netherlands Eredivisie
Maarten Martens,2009/2010,AZ,Netherlands Eredivisie
Richard Foster,2009/2010,Aberdeen,Scotland Premier League
Davide Grassi,2009/2010,Aberdeen,Scotland Premier League
Jamie Langfield,2009/2010,Aberdeen,Scotland Premier League
Michael Paton,2009/2010,Aberdeen,Scotland Premier League
Derek Young,2009/2010,Aberdeen,Scotland Premier League
Stuart Duff,2009/2010,Aberdeen,Scotland Premier League
Peter Pawlett,2009/2010,Aberdeen,Scotland Premier League
Jerel Ifil,2009/2010,Aberdeen,Scotland Premier League
Lee Miller,2009/2010,Aberdeen,Scotland Premier League
Paul Marshall,2009/2010,Aberdeen,Scotland Premier League
Jim Paterson,2009/2010,Aberdeen,Scotland Premier League
Darren Mackie,2009/2010,Aberdeen,Scotland Premier League
Gary McDonald,2009/2010,Aberdeen,Scotland Premier League
Zander Diamond,2009/2010,Aberdeen,Scotland Premier League
Charles Mulgrew,2009/2010,Aberdeen,Scotland Premier League
Mark Kerr,2009/2010,Aberdeen,Scotland Premier League
Stuart Nelson,2009/2010,Aberdeen,Scotland Premier League
Andrew Considine,2009/2010,Aberdeen,Scotland Premier League
Steven MacLean,2009/2010,Aberdeen,Scotland Premier League
Fraser Fyvie,2009/2010,Aberdeen,Scotland Premier League
Maurice Ross,2009/2010,Aberdeen,Scotland Premier League
Sone Aluko,2009/2010,Aberdeen,Scotland Premier League
Miguel Pedro,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Bruno Amaro,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
"Luis Fernando Duarte Nunes,32",2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Pedrinho,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Claudio Lito,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Andre Fontes,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Amoreirinha,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
"Ferreira Gomes Paulo Sergio,22",2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Orlando,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Rui Nereu,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Pape Modou Sougou,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Amaury Bischoff,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Cris Santos,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Nuno Coelho,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Lica,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Joao Barroca,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Markus Berger,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Diego Gomez,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Pedro Costa,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
William Tiero,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Eder,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Miguel Fidalgo,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Emidio Rafael,2009/2010,Académica de Coimbra,Portugal Liga ZON Sagres
Maarten Stekelenburg,2009/2010,Ajax,Netherlands Eredivisie
Siem de Jong,2009/2010,Ajax,Netherlands Eredivisie
Rasmus Lindgren,2009/2010,Ajax,Netherlands Eredivisie
Urby Emanuelson,2009/2010,Ajax,Netherlands Eredivisie
Rob Wielaert,2009/2010,Ajax,Netherlands Eredivisie
Vurnon Anita,2009/2010,Ajax,Netherlands Eredivisie
Demy de Zeeuw,2009/2010,Ajax,Netherlands Eredivisie
Marko Pantelic,2009/2010,Ajax,Netherlands Eredivisie
Luis Suarez,2009/2010,Ajax,Netherlands Eredivisie
Eyong Enoh,2009/2010,Ajax,Netherlands Eredivisie
Jan Vertonghen,2009/2010,Ajax,Netherlands Eredivisie
Dennis Rommedahl,2009/2010,Ajax,Netherlands Eredivisie
Ismael Aissati,2009/2010,Ajax,Netherlands Eredivisie
Oleguer,2009/2010,Ajax,Netherlands Eredivisie
Gabri,2009/2010,Ajax,Netherlands Eredivisie
Gregory van der Wiel,2009/2010,Ajax,Netherlands Eredivisie
Toby Alderweireld,2009/2010,Ajax,Netherlands Eredivisie
Christian Eriksen,2009/2010,Ajax,Netherlands Eredivisie
Dario Cvitanich,2009/2010,Ajax,Netherlands Eredivisie
Kenneth Vermeer,2009/2010,Ajax,Netherlands Eredivisie
Kennedy Bakircioglu,2009/2010,Ajax,Netherlands Eredivisie
Adrian Mrowiec,2009/2010,Arka Gdynia,Poland Ekstraklasa
Maciej Szmatiuk,2009/2010,Arka Gdynia,Poland Ekstraklasa
"Bartosz Lawa,25",2009/2010,Arka Gdynia,Poland Ekstraklasa
Miroslav Bozok,2009/2010,Arka Gdynia,Poland Ekstraklasa
Norbert Witkowski,2009/2010,Arka Gdynia,Poland Ekstraklasa
Filip Burkhardt,2009/2010,Arka Gdynia,Poland Ekstraklasa
Przemyslaw Trytko,2009/2010,Arka Gdynia,Poland Ekstraklasa
Marcin Budzinski,2009/2010,Arka Gdynia,Poland Ekstraklasa
Sol Campbell,2009/2010,Arsenal,England Premier League
Andrey Arshavin,2009/2010,Arsenal,England Premier League
Vito Mannone,2009/2010,Arsenal,England Premier League
Gael Clichy,2009/2010,Arsenal,England Premier League
Thomas Vermaelen,2009/2010,Arsenal,England Premier League
Emmanuel Eboue,2009/2010,Arsenal,England Premier League
Alex Song,2009/2010,Arsenal,England Premier League
Robin van Persie,2009/2010,Arsenal,England Premier League
William Gallas,2009/2010,Arsenal,England Premier League
Denilson,2009/2010,Arsenal,England Premier League
Armand Traore,2009/2010,Arsenal,England Premier League
Samir Nasri,2009/2010,Arsenal,England Premier League
Lukasz Fabianski,2009/2010,Arsenal,England Premier League
Aaron Ramsey,2009/2010,Arsenal,England Premier League
Manuel Almunia,2009/2010,Arsenal,England Premier League
Kieran Gibbs,2009/2010,Arsenal,England Premier League
Mikael Silvestre,2009/2010,Arsenal,England Premier League
Theo Walcott,2009/2010,Arsenal,England Premier League
Nicklas Bendtner,2009/2010,Arsenal,England Premier League
Cesc Fabregas,2009/2010,Arsenal,England Premier League
Abou Diaby,2009/2010,Arsenal,England Premier League
Bacary Sagna,2009/2010,Arsenal,England Premier League
Tomas Rosicky,2009/2010,Arsenal,England Premier League
Stephen Warnock,2009/2010,Aston Villa,England Premier League
Luke Young,2009/2010,Aston Villa,England Premier League
Gabriel Agbonlahor,2009/2010,Aston Villa,England Premier League
Fabian Delph,2009/2010,Aston Villa,England Premier League
Carlos Cuellar,2009/2010,Aston Villa,England Premier League
Brad Friedel,2009/2010,Aston Villa,England Premier League
James Milner,2009/2010,Aston Villa,England Premier League
Nicky Shorey,2009/2010,Aston Villa,England Premier League
Habib Beye,2009/2010,Aston Villa,England Premier League
Stiliyan Petrov,2009/2010,Aston Villa,England Premier League
Steve Sidwell,2009/2010,Aston Villa,England Premier League
Richard Dunne,2009/2010,Aston Villa,England Premier League
Nigel Reo-Coker,2009/2010,Aston Villa,England Premier League
James Collins,2009/2010,Aston Villa,England Premier League
John Carew,2009/2010,Aston Villa,England Premier League
Curtis Davies,2009/2010,Aston Villa,England Premier League
Ashley Young,2009/2010,Aston Villa,England Premier League
Stewart Downing,2009/2010,Aston Villa,England Premier League
Ciaran Clark,2009/2010,Aston Villa,England Premier League
Fabio Caserta,2009/2010,Atalanta,Italy Serie A
Paolo Bianco,2009/2010,Atalanta,Italy Serie A
"Diego De Ascentis,23",2009/2010,Atalanta,Italy Serie A
Simone Padoin,2009/2010,Atalanta,Italy Serie A
Edgar Barreto,2009/2010,Atalanta,Italy Serie A
Cristiano Doni,2009/2010,Atalanta,Italy Serie A
Gyorgy Garics,2009/2010,Atalanta,Italy Serie A
Jose Leonardo Talamonti,2009/2010,Atalanta,Italy Serie A
Thomas Manfredini,2009/2010,Atalanta,Italy Serie A
Sergio Volpi,2009/2010,Atalanta,Italy Serie A
Ferdinando Coppola,2009/2010,Atalanta,Italy Serie A
Nicola Amoruso,2009/2010,Atalanta,Italy Serie A
Maximiliano Pellegrino,2009/2010,Atalanta,Italy Serie A
Ivan Radovanovic,2009/2010,Atalanta,Italy Serie A
Jaime Valdes,2009/2010,Atalanta,Italy Serie A
Fabio Ceravolo,2009/2010,Atalanta,Italy Serie A
Daniele Capelli,2009/2010,Atalanta,Italy Serie A
Tiberio Guarente,2009/2010,Atalanta,Italy Serie A
Federico Peluso,2009/2010,Atalanta,Italy Serie A
Javier Chevanton,2009/2010,Atalanta,Italy Serie A
Simone Tiribocchi,2009/2010,Atalanta,Italy Serie A
Adriano Ferreira Pinto,2009/2010,Atalanta,Italy Serie A
Gianpaolo Bellini,2009/2010,Atalanta,Italy Serie A
Andrea Consigli,2009/2010,Atalanta,Italy Serie A
Javier Martinez,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Mikel San Jose,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Koikili Campo,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Markel Susaeta,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Pablo Orbaiz,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Fernando Llorente,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
David Lopez,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Gaizka Toquero,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Carlos Gurpegi,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Fernando Amorebieta,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Igor Gabilondo,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Andoni Iraola,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Ander Iturraspe,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Iker Muniain,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Oscar de Marcos,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Xabier Aranburu Castillo,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Francisco Navarro Yeste,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Xabier Etxeita,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Gorka Iraizoz Moreno,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Ustaritz,2009/2010,Athletic Club de Bilbao,Spain LIGA BBVA
Raul Garcia,2009/2010,Atlético Madrid,Spain LIGA BBVA
Ibrahima Balde,2009/2010,Atlético Madrid,Spain LIGA BBVA
Diego Forlan,2009/2010,Atlético Madrid,Spain LIGA BBVA
Tiago,2009/2010,Atlético Madrid,Spain LIGA BBVA
Pablo Ibanez,2009/2010,Atlético Madrid,Spain LIGA BBVA
Cleber Santana,2009/2010,Atlético Madrid,Spain LIGA BBVA
Juan Valera,2009/2010,Atlético Madrid,Spain LIGA BBVA
Koke,2009/2010,Atlético Madrid,Spain LIGA BBVA
Jose Antonio Reyes,2009/2010,Atlético Madrid,Spain LIGA BBVA
Sergio Asenjo,2009/2010,Atlético Madrid,Spain LIGA BBVA
Ignacio Camacho,2009/2010,Atlético Madrid,Spain LIGA BBVA
David De Gea,2009/2010,Atlético Madrid,Spain LIGA BBVA
Jose Manuel Jurado,2009/2010,Atlético Madrid,Spain LIGA BBVA
Antonio Lopez,2009/2010,Atlético Madrid,Spain LIGA BBVA
Joel Robles,2009/2010,Atlético Madrid,Spain LIGA BBVA
Luis Perea,2009/2010,Atlético Madrid,Spain LIGA BBVA
Tomas Ujfalusi,2009/2010,Atlético Madrid,Spain LIGA BBVA
Simao,2009/2010,Atlético Madrid,Spain LIGA BBVA
Paulo Assuncao,2009/2010,Atlético Madrid,Spain LIGA BBVA
Eduardo Salvio,2009/2010,Atlético Madrid,Spain LIGA BBVA
Sergio Aguero,2009/2010,Atlético Madrid,Spain LIGA BBVA
Mariano Pernia,2009/2010,Atlético Madrid,Spain LIGA BBVA
Edgar,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
Nuno Pinto,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
Bruno Patacas,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
de Oliveira Cleber Monteiro,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
Joao Aurelio,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
Pedro Oldoni,2009/2010,Atlético Nacional,Portugal Liga ZON Sagres
