player_name,season,team_long_name,league
Kevin Pezzoni,2009/2010,1. FC Köln,Germany 1. Bundesliga
Christopher Schorch,2009/2010,1. FC Köln,Germany 1. Bundesliga
Miso Brecko,2009/2010,1. FC Köln,Germany 1. Bundesliga
Adil Chihi,2009/2010,1. FC Köln,Germany 1. Bundesliga
Taner Yalcin,2009/2010,1. FC Köln,Germany 1. Bundesliga
Sebastian Freis,2009/2010,1. FC Köln,Germany 1. Bundesliga
Zoran Tosic,2009/2010,1. FC Köln,Germany 1. Bundesliga
Fabrice Ehret,2009/2010,1. FC Köln,Germany 1. Bundesliga
Maniche,2009/2010,1. FC Köln,Germany 1. Bundesliga
Thomas Kessler,2009/2010,1. FC Köln,Germany 1. Bundesliga
Petit,2009/2010,1. FC Köln,Germany 1. Bundesliga
Kevin McKenna,2009/2010,1. FC Köln,Germany 1. Bundesliga
Milivoje Novakovic,2009/2010,1. FC Köln,Germany 1. Bundesliga
Pierre Wome,2009/2010,1. FC Köln,Germany 1. Bundesliga
Lukas Podolski,2009/2010,1. FC Köln,Germany 1. Bundesliga
Youssef Wasef Mohamad,2009/2010,1. FC Köln,Germany 1. Bundesliga
Faryd Mondragon,2009/2010,1. FC Köln,Germany 1. Bundesliga
Geromel,2009/2010,1. FC Köln,Germany 1. Bundesliga
Adam Matuschyk,2009/2010,1. FC Köln,Germany 1. Bundesliga
Mannaseh Ishiaku,2009/2010,1. FC Köln,Germany 1. Bundesliga
Mickaeel Tavares,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Eric Maxim Choupo-Moting,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Andreas Wolf,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Haavard Nordtveit,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Juri Judt,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Christian Eigler,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Angelos Charisteas,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Ilkay Guendogan,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Marek Mintal,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Peer Kluge,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Breno,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Jawhar Mnari,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Mike Frantz,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Pascal Bieler,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Dario Vidosic,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Daniel Gygax,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Alexander Stephan,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Dennis Diekmeier,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Javier Pinola,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Marcel Risse,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Thomas Broich,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Raphael Schaefer,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Albert Bunjaku,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Dominic Maroh,2009/2010,1. FC Nürnberg,Germany 1. Bundesliga
Eugen Polanski,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Radoslav Zabavnik,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Zsolt Low,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Elkin Soto,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Malik Fathi,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Nikolce Noveski,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Tim Hoogland,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Florian Heller,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Heinz Mueller,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Milorad Pekovic,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Aristide Bance,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Chadli Amri,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Filip Trojan,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Andreas Ivanschitz,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Miroslav Karhan,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Christian Wetklo,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Peter van der Heyden,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Bo Svensson,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Andre Schuerrle,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Srdjan Baljak,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Adam Szalai,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Niko Bungert,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Jahmir Hyka,2009/2010,1. FSV Mainz 05,Germany 1. Bundesliga
Mark Edusei,2009/2010,AC Bellinzona,Switzerland Super League
Alessandro Mangiarrati,2009/2010,AC Bellinzona,Switzerland Super League
Andrea Russotto,2009/2010,AC Bellinzona,Switzerland Super League
Frank Feltscher,2009/2010,AC Bellinzona,Switzerland Super League
Maurizio Ciaramitaro,2009/2010,AC Bellinzona,Switzerland Super League
"Ildefons Lima,31",2009/2010,AC Bellinzona,Switzerland Super League
Paolo Carbone,2009/2010,AC Bellinzona,Switzerland Super League
