England Premier League,Germany 1. Bundesliga,Switzerland Super League,Netherlands Eredivisie,France Ligue 1,Scotland Premier League,Portugal Liga ZON Sagres,Poland Ekstraklasa,Italy Serie A,Spain LIGA BBVA,Belgium Jupiler League
53,6,0,2,6,1,1,0,11,9,0
6,37,1,2,4,0,2,1,2,3,0
0,6,21,0,2,0,1,0,4,1,2
7,3,1,62,0,0,2,0,1,3,9
7,3,2,2,48,0,3,1,3,5,7
3,0,0,0,0,26,0,0,0,0,2
6,1,1,1,3,0,45,2,4,17,4
0,1,0,1,0,1,3,37,0,0,3
7,4,2,0,1,0,2,0,86,6,1
15,8,1,1,1,0,11,0,9,53,5
0,0,0,0,1,0,1,1,1,1,6
