England Premier League,Germany 1. Bundesliga,Switzerland Super League,Netherlands Eredivisie,France Ligue 1,Scotland Premier League,Portugal Liga ZON Sagres,Poland Ekstraklasa,Italy Serie A,Spain LIGA BBVA,Belgium Jupiler League
43,4,0,3,2,2,0,0,5,8,0
4,51,1,2,1,0,0,0,3,4,0
1,4,21,0,2,0,1,0,2,1,0
7,1,0,52,2,2,3,0,2,1,2
12,5,4,0,47,0,1,0,4,7,0
4,0,0,1,0,27,1,3,0,0,0
2,1,0,3,3,1,47,2,2,6,0
1,0,0,0,2,0,0,39,2,0,1
5,2,1,1,3,0,8,0,85,3,0
17,5,0,1,7,0,5,0,7,50,0
1,1,1,5,2,0,3,4,1,4,16
