England Premier League,Germany 1. Bundesliga,Switzerland Super League,Netherlands Eredivisie,France Ligue 1,Scotland Premier League,Portugal Liga ZON Sagres,Poland Ekstraklasa,Italy Serie A,Spain LIGA BBVA,Belgium Jupiler League
39,4,0,1,4,3,0,0,9,5,1
4,35,4,4,2,1,1,0,5,7,2
0,1,14,1,0,0,0,0,3,0,1
5,1,4,36,0,2,1,5,0,6,7
6,1,1,0,38,1,1,0,5,3,1
2,2,1,1,1,27,1,0,2,1,0
3,2,0,1,0,1,62,2,1,8,0
0,1,0,0,0,1,0,25,1,0,1
5,6,1,1,0,0,3,0,71,8,2
8,2,0,0,4,0,2,0,3,46,1
5,3,0,7,1,0,0,0,0,1,26
