England Premier League,Germany 1. Bundesliga,Switzerland Super League,Netherlands Eredivisie,France Ligue 1,Scotland Premier League,Portugal Liga ZON Sagres,Poland Ekstraklasa,Italy Serie A,Spain LIGA BBVA,Belgium Jupiler League
43,2,0,0,5,1,0,0,6,5,0
8,40,1,2,1,0,1,0,3,6,1
0,3,23,1,2,0,1,0,0,5,0
9,1,1,56,2,0,4,0,0,1,8
6,2,3,2,34,0,3,0,5,6,4
7,1,1,1,0,19,1,1,0,2,0
2,0,1,2,1,0,45,0,9,12,3
0,1,0,4,0,1,0,30,0,0,0
5,1,2,1,5,0,0,0,106,5,0
12,2,0,4,1,1,3,1,9,39,2
0,4,0,4,2,0,2,1,3,0,50
