England Premier League,Germany 1. Bundesliga,Switzerland Super League,Netherlands Eredivisie,France Ligue 1,Scotland Premier League,Portugal Liga ZON Sagres,Poland Ekstraklasa,Italy Serie A,Spain LIGA BBVA,Belgium Jupiler League
56,8,1,0,6,1,1,0,1,4,2
3,35,1,1,3,0,0,1,4,5,2
0,3,28,0,1,0,0,0,2,1,1
2,4,1,43,0,1,8,1,3,1,6
5,0,1,0,56,1,1,0,6,5,2
3,0,0,0,1,21,1,0,0,2,0
2,1,2,0,4,0,55,0,3,9,1
0,2,0,2,0,0,1,40,0,0,1
5,2,0,0,5,1,1,0,101,9,1
6,1,5,3,3,1,8,0,8,52,2
1,2,2,4,1,1,5,2,3,1,42
