player_name,season,team_long_name,league
Youssouf Hadji,2008/2009,AS Nancy-Lorraine,France Ligue 1
Jean Calve,2008/2009,AS Nancy-Lorraine,France Ligue 1
Yohan Benalouane,2008/2009,AS Saint-Étienne,France Ligue 1
Bafetimbi Gomis,2008/2009,AS Saint-Étienne,France Ligue 1
Jeremie Janot,2008/2009,AS Saint-Étienne,France Ligue 1
Ilan,2008/2009,AS Saint-Étienne,France Ligue 1
Loic Perrin,2008/2009,AS Saint-Étienne,France Ligue 1
Christophe Landrin,2008/2009,AS Saint-Étienne,France Ligue 1
Mouhamadou Dabo,2008/2009,AS Saint-Étienne,France Ligue 1
"Yohan Hautcoeur,17",2008/2009,AS Saint-Étienne,France Ligue 1
Paulo Machado,2008/2009,AS Saint-Étienne,France Ligue 1
David Sauget,2008/2009,AS Saint-Étienne,France Ligue 1
Blaise Matuidi,2008/2009,AS Saint-Étienne,France Ligue 1
Sylvain Monsoreau,2008/2009,AS Saint-Étienne,France Ligue 1
Sebastien Grax,2008/2009,AS Saint-Étienne,France Ligue 1
Pascal Feindouno,2008/2009,AS Saint-Étienne,France Ligue 1
Efstathios Tavlaridis,2008/2009,AS Saint-Étienne,France Ligue 1
Dimitri Payet,2008/2009,AS Saint-Étienne,France Ligue 1
Mustapha Bayal Sall,2008/2009,AS Saint-Étienne,France Ligue 1
Cedric Varrault,2008/2009,AS Saint-Étienne,France Ligue 1
Jody Viviani,2008/2009,AS Saint-Étienne,France Ligue 1
Yoann Andreu,2008/2009,AS Saint-Étienne,France Ligue 1
Geoffrey Dernis,2008/2009,AS Saint-Étienne,France Ligue 1
David Gigliotti,2008/2009,AS Saint-Étienne,France Ligue 1
Kevin Mirallas,2008/2009,AS Saint-Étienne,France Ligue 1
