England Premier League,Spain LIGA BBVA,Netherlands Eredivisie,Scotland Premier League,Poland Ekstraklasa,Belgium Jupiler League,Switzerland Super League,Portugal Liga ZON Sagres,France Ligue 1,Italy Serie A,Germany 1. Bundesliga
152.37900000000002,142.50300000000001,45.941,20.67,2.72,0.0,14.37,38.68,48.54,81.49000000000001,21.08
85.85,91.15199999999997,5.95,0.0,0.0,7.65,0.0,13.084999999999999,17.009999999999998,13.600000000000001,8.09
2.98,0.0,18.728,0.0,0.0,0.0,0.0,1.1480000000000001,0.0,2.55,0.383
0.0,0.0,4.68,0.0,0.0,0.0,0.0,1.49,0.0,0.0,2.13
0.0,0.0,0.0,0.306,0.734,0.0,0.0,0.128,0.0,0.0,0.0
0.0,0.0,0.765,0.0,1.105,14.169000000000002,0.0,1.28,0.0,0.0,0.51
0.0,0.0,0.0,0.0,0.0,0.85,4.978,0.0,0.425,0.043000000000000003,1.8699999999999999
0.0,14.45,6.8,0.0,0.0,0.935,0.0,5.379,0.0,0.0,0.128
23.8,57.8,2.13,0.0,2.34,0.0,0.68,61.656000000000006,64.02000000000001,81.52,2.13
14.45,60.44499999999999,22.94,0.0,1.182,7.5649999999999995,1.53,0.0,7.0600000000000005,214.43799999999996,13.265
18.7,21.59,2.34,0.0,0.10200000000000001,1.45,4.851,0.34,14.879999999999999,8.5,112.725
