England Premier League,Spain LIGA BBVA,Netherlands Eredivisie,Scotland Premier League,Poland Ekstraklasa,Belgium Jupiler League,Switzerland Super League,Portugal Liga ZON Sagres,France Ligue 1,Italy Serie A,Germany 1. Bundesliga
172.09799999999998,72.05,36.33,3.8039999999999994,0.0,6.85,0.0,60.61000000000001,44.49100000000001,32.45,42.76
24.098,100.535,2.7199999999999998,0.0,0.0,0.0,0.0,28.05,5.53,13.02,34.86000000000001
0.0,0.0,10.038,0.0,3.23,2.55,0.0,0.0,0.0,0.0,0.0
2.98,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.723,0.043000000000000003,3.5520000000000005,0.0,0.0,0.085,0.0,0.0,0.0
0.0,3.4,0.234,0.0,0.68,6.967999999999999,0.0,0.0,0.0,1.11,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.403,0.0,2.104,0.0,0.085
0.0,7.23,0.0,0.0,0.0,0.0,0.0,15.045,0.0,6.8,0.0
0.0,5.1,0.0,0.0,0.0,5.95,0.0,0.0,88.976,0.0,1.02
23.338,19.98,2.385,2.13,0.0,0.765,0.0,13.18,3.4850000000000003,134.245,9.605
9.780000000000001,10.285,5.27,0.0,4.975,5.949999999999999,1.36,0.0,2.13,40.21,36.641000000000005
